ID	BW56	GENERATION	SEX
118302	668	2	2
128813	954	13	1
620505	388	5	2
159514	1020	14	1
340804	607	4	1
310315	759	15	2
739316	621	16	2
288615	284	15	2
309715	826	15	2
335603	471	3	2
190518	785	18	1
71002	664	2	1
154614	603	14	1
339204	550	4	1
46802	695	2	1
282815	392	15	1
364604	718	4	2
351603	656	3	2
77202	600	2	1
188418	742	18	1
278015	384	15	2
226509	965	9	1
860306	836	6	2
134113	775	13	1
104602	692	2	2
127213	600	13	1
316003	781	3	1
551408	477	8	2
729016	675	16	2
250915	533	15	2
103002	560	2	2
549308	485	8	1
558308	492	8	1
50702	532	2	1
320715	790	15	1
104702	443	2	2
133302	541	2	2
346003	495	3	2
92902	531	2	2
907807	539	7	1
257315	735	15	2
287715	432	15	2
261615	919	15	1
279015	676	15	2
354203	581	3	2
336804	815	4	1
259215	509	15	1
48602	703	2	1
85002	744	2	1
624511	478	11	1
36602	575	2	2
146902	591	2	1
77102	468	2	2
741916	871	16	1
302115	468	15	2
79302	725	2	2
352503	612	3	2
360403	836	3	1
276715	243	15	2
255615	606	15	1
332215	499	15	1
87202	451	2	1
638311	677	11	1
296515	570	15	2
67202	827	2	1
223609	1029	9	1
518208	332	8	1
354604	779	4	1
99102	558	2	1
631711	452	11	1
135013	570	13	2
614605	855	5	1
110302	503	2	2
329815	564	15	2
132413	817	13	1
542308	290	8	2
609705	718	5	1
55702	883	2	1
626305	732	5	1
75602	527	2	1
527808	317	8	1
359203	732	3	1
297418	529	18	1
322715	391	15	2
192318	435	18	2
857306	820	6	1
134613	409	13	1
63702	640	2	2
552208	402	8	2
36702	641	2	1
256815	1118	15	1
914207	921	7	1
320303	814	3	1
360803	650	3	2
293915	521	15	1
246615	631	15	1
326303	217	3	2
260015	575	15	2
624905	565	5	2
166014	952	14	1
73002	1049	2	1
295515	591	15	1
78902	460	2	2
245715	711	15	1
351503	705	3	2
387110	552	10	1
376910	645	10	1
319815	270	15	2
66602	729	2	1
528908	412	8	1
53902	987	2	1
126702	471	2	1
636511	545	11	2
65802	701	2	1
84402	507	2	2
132913	465	13	2
246915	265	15	2
75402	534	2	1
316803	714	3	2
318803	757	3	1
138702	844	2	1
296618	642	18	1
298315	441	15	2
283815	484	15	2
129913	676	13	2
70102	288	2	2
221409	806	9	1
366404	461	4	2
635011	317	11	2
610705	798	5	2
76502	543	2	1
323803	888	3	1
335803	677	3	1
630711	777	11	1
227509	718	9	2
282015	589	15	1
121502	270	2	2
384610	675	10	1
240415	747	15	1
852106	613	6	2
299915	719	15	1
532408	490	8	1
146614	535	14	2
636705	505	5	2
237115	554	15	2
332803	506	3	2
530608	200	8	1
215309	1164	9	1
223509	753	9	2
111502	135	2	2
334104	778	4	1
614005	699	5	1
312315	670	15	1
363804	470	4	2
134917	560	17	2
727516	618	16	2
277015	700	15	1
557508	567	8	2
190418	390	18	2
36002	643	2	2
626811	566	11	2
297515	881	15	1
560808	238	8	2
66102	774	2	1
314015	602	15	1
115302	836	2	1
331503	1186	3	1
625311	745	11	1
146314	530	14	2
542708	285	8	1
335903	737	3	2
83202	791	2	1
322203	720	3	2
52502	554	2	1
68202	436	2	1
127313	637	13	1
854506	592	6	2
338203	657	3	2
117802	766	2	2
105302	369	2	1
733916	692	16	2
856506	926	6	1
558208	367	8	2
319415	423	15	2
237315	617	15	2
302218	887	18	1
620105	731	5	2
355004	675	4	1
317103	682	3	1
85402	594	2	2
37602	825	2	1
135502	1106	2	1
294215	782	15	1
359304	606	4	2
529608	222	8	1
629011	954	11	1
332503	750	3	1
243315	483	15	2
624411	507	11	1
726916	940	16	1
48902	549	2	2
351903	504	3	2
152014	751	14	2
725516	728	16	1
732816	765	16	2
638411	600	11	2
729216	454	16	2
70702	665	2	2
256015	557	15	2
86802	646	2	1
344903	997	3	1
76402	543	2	2
320003	591	3	2
107002	613	2	1
631805	662	5	2
163214	767	14	2
541508	504	8	2
226909	674	9	2
116502	432	2	1
46702	407	2	2
45302	609	2	1
719516	550	16	2
272815	536	15	2
624405	959	5	1
324615	373	15	2
318003	871	3	1
80702	524	2	1
246215	627	15	1
80302	787	2	1
359903	747	3	2
281415	661	15	1
118202	626	2	2
350703	645	3	2
130213	821	13	1
258415	385	15	2
215209	926	9	1
308815	729	15	2
347303	670	3	2
301815	621	15	1
252215	610	15	2
730216	640	16	1
119202	1158	2	1
361804	486	4	2
379810	602	10	2
635905	390	5	2
528008	204	8	1
329604	873	4	1
434610	744	10	1
719616	870	16	1
306815	480	15	2
625705	862	5	1
382910	619	10	2
288915	724	15	2
40502	581	2	2
725416	348	16	2
306715	630	15	2
138713	452	13	1
635705	544	5	1
619605	602	5	2
333015	628	15	1
355204	536	4	2
321403	721	3	2
357603	633	3	1
159414	760	14	2
253815	547	15	1
563208	410	8	2
290315	583	15	1
62802	810	2	1
327004	625	4	1
345104	480	4	2
531808	402	8	2
322003	583	3	2
540108	253	8	1
548208	285	8	1
69402	684	2	1
274315	628	15	1
106902	677	2	1
362504	483	4	1
300815	779	15	1
280215	667	15	2
562608	489	8	2
560708	295	8	2
354503	372	3	2
236615	500	15	2
117302	530	2	2
93802	743	2	2
139702	445	2	2
519008	267	8	1
556808	466	8	2
133513	565	13	2
133902	439	2	1
56302	704	2	1
361003	871	3	1
253915	452	15	2
58802	840	2	1
341903	898	3	1
324603	675	3	2
323615	594	15	1
113902	741	2	1
87802	784	2	1
106102	856	2	2
97402	665	2	1
285915	637	15	1
273915	530	15	2
843806	852	6	1
111102	828	2	1
551308	392	8	2
332715	640	15	2
553908	317	8	2
331703	794	3	2
349504	571	4	1
41702	532	2	1
724716	703	16	2
119602	468	2	2
189218	725	18	2
221309	1091	9	1
278215	622	15	1
639911	825	11	1
911907	556	7	1
138113	771	13	1
375710	727	10	2
344604	525	4	1
127013	628	13	1
64802	508	2	2
257415	895	15	1
135002	659	2	2
345503	530	3	2
136117	225	17	2
639111	570	11	1
114202	643	2	1
45202	558	2	2
352604	737	4	1
135513	502	13	2
337603	638	3	2
82702	301	2	2
144302	694	2	2
347204	269	4	2
339903	809	3	2
52602	708	2	2
639105	694	5	1
120002	653	2	2
856806	775	6	1
283515	677	15	1
249515	537	15	2
233815	469	15	1
617605	685	5	1
85302	253	2	1
303215	632	15	2
329615	495	15	2
298215	714	15	2
324303	636	3	2
126402	730	2	1
331615	549	15	2
61202	452	2	2
49202	548	2	1
375604	467	4	2
105402	516	2	1
120102	593	2	2
558008	291	8	1
563108	441	8	1
553208	595	8	2
95902	877	2	2
36402	771	2	1
561708	455	8	1
321103	919	3	1
334803	500	3	2
221509	760	9	2
359204	572	4	1
164914	478	14	2
111802	558	2	2
133613	600	13	1
75102	501	2	2
168414	360	14	2
859906	1070	6	2
162514	920	14	2
82402	1018	2	1
724916	593	16	1
436310	577	10	1
223909	484	9	2
901207	634	7	1
285015	785	15	1
863306	926	6	1
305318	592	18	1
343404	506	4	2
191818	620	18	2
359503	831	3	2
288515	744	15	1
38902	1079	2	1
146802	777	2	2
841106	277	6	2
84602	613	2	2
279815	729	15	2
261015	510	15	2
122402	551	2	2
629105	620	5	2
128513	392	13	2
40302	477	2	2
329515	569	15	2
316615	413	15	2
635211	550	11	1
355903	570	3	1
259915	534	15	1
520608	295	8	1
127102	308	2	2
134102	531	2	2
549008	336	8	1
557108	473	8	1
141502	738	2	2
125817	465	17	2
64102	353	2	2
281015	457	15	2
246515	447	15	2
360503	640	3	2
902307	672	7	1
521908	336	8	2
135713	804	13	1
134002	671	2	2
106202	465	2	2
355804	753	4	1
249215	235	15	2
298415	301	15	2
542208	316	8	2
137402	945	2	1
431010	480	10	2
840506	575	6	2
98302	699	2	2
520408	180	8	1
626711	865	11	1
431410	730	10	2
639005	645	5	2
64502	911	2	1
128617	492	17	2
62902	513	2	2
90002	608	2	2
540708	374	8	1
252015	590	15	2
328215	725	15	1
106602	764	2	2
533608	382	8	1
254315	476	15	2
627605	769	5	2
54602	917	2	1
169114	825	14	2
613405	759	5	1
732016	854	16	2
52302	711	2	1
217709	424	9	2
50102	622	2	1
338303	848	3	1
386310	474	10	2
627005	554	5	1
282215	808	15	1
239415	565	15	2
257715	816	15	1
102702	434	2	2
77502	555	2	2
127802	930	2	1
530908	279	8	1
229509	578	9	2
294015	857	15	1
51002	416	2	2
629605	460	5	2
903207	653	7	1
65202	815	2	1
55602	497	2	2
57802	519	2	2
254815	747	15	1
39102	765	2	1
252915	820	15	1
277315	343	15	2
288115	487	15	1
70602	217	2	2
353804	632	4	1
548308	458	8	1
51502	724	2	2
76702	623	2	2
616905	699	5	1
618005	650	5	2
317803	845	3	1
322915	434	15	1
63802	672	2	1
533908	466	8	1
372004	601	4	2
105202	438	2	2
141002	582	2	2
86502	523	2	1
905607	742	7	1
307615	697	15	1
332315	467	15	1
93502	298	2	2
339503	878	3	2
280015	754	15	2
292415	569	15	2
727416	501	16	1
254715	637	15	2
327203	393	3	2
619105	311	5	2
143402	458	2	2
